Sao,Giáp,Ất,Bính,Đinh,Mậu,Kỷ,Canh,Tân,Nhâm,Quý
Đà La,Sửu,Dần,Thìn,Tỵ,Thìn,Tỵ,Mùi,Thân,Tuất,Hợi
Lộc Tồn,Dần,Mão,Tỵ,Ngọ,Tỵ,Ngọ,Thân,Dậu,Hợi,Tý
Kình Dương,Mão,Thìn,Ngọ,Mùi,Ngọ,Mùi,Dậu,Tuất,Tý,Sửu
Quốc Ấn,Tuất,Hợi,Sửu,Dần,Sửu,Dần,Thìn,Tỵ,Mùi,Thân
Đường Phủ,Mùi,Thân,Tuất,Hợi,Tuất,Hợi,Sửu,Dần,Thìn,Tỵ
Văn Tinh,Tỵ,Ngọ,Thân,Dậu,Thân,Dậu,Hợi,Tý,Dậu,Mão
Thiên Khôi,Sửu,Tý,Hợi,Hợi,Sửu,Tý,Ngọ,Ngọ,Mão,Mão
Thiên Việt,Mùi,Thân,Dậu,Dậu,Mùi,Thân,Dần,Dần,Tỵ,Tỵ
Thiên Quan,Mùi,Thìn,Tỵ,Dần,Mão,Dậu,Hợi,Dậu,Tuất,Ngọ
Thiên Phúc,Dậu,Thân,Tý,Hợi,Mão,Dần,Ngọ,Tỵ,Ngọ,Tỵ
Lưu Hà,Dậu,Tuất,Mùi,Thân,Tý,Ngọ,Mão,Thìn,Hợi,Dần
Thiên Trù,Tỵ,Ngọ,Tý,Tỵ,Ngọ,Thân,Dần,Ngọ,Dậu,Hợi
Hóa Lộc,!Liêm Trinh,!Thiên Cơ,!Thiên Đồng,!Thái Âm,!Tham Lang,!Vũ Khúc,!Thái Dương,!Cự Môn,!Thiên Lương,!Phá Quân
Hóa Quyền,!Phá Quân,!Thiên Lương,!Thiên Cơ,!Thiên Đồng,!Thái Âm,!Tham Lang,!Vũ Khúc,!Thái Dương,!Tử Vi,!Cự Môn
Hóa Khoa,!Vũ Khúc,!Tử Vi,!Văn Xương,!Thiên Cơ,!Hữu Bật,!Thiên Lương,!Thái Âm,!Văn Khúc,!Thiên Phủ,!Thái Âm
Hóa Kỵ,!Thái Dương,!Thái Âm,!Liêm Trinh,!Cự Môn,!Thiên Cơ,!Văn Khúc,!Thiên Đồng,!Văn Xương,!Vũ Khúc,!Tham Lang
Triệt Không,Thân + Dậu,Ngọ + Mùi,Thìn + Tỵ,Dần + Mão,Tý + Sửu,Thân + Dậu,Ngọ + Mùi,Thìn + Tỵ,Dần + Mão,Tý + Sửu
