Sao,Loại sao,Ngũ hành,Chủ đạo,Hợp,Kỵ,Ghi chú
Tử vi,Chính tinh,"Chủ tinh của Bắc Đẩu, Âm Thổ","Sao chủ về quan lộc, sáng thì chủ về độ lượng, tối chủ về dễ nhiễm xấu.","Các sao cát, hợp nhất là hai sao Thiên Phủ, Thiên Tướng.

Hợp ở ba cung Sửu, Ngọ, Mùi.","Các sao hung, kỵ nhất hai sao Tham Lang, Phá Quân.

Kỵ ở hai cung Thìn, Tuất.",
Thiên Phủ,Chính tinh,"Chủ tinh của Nam Đẩu, Dương Thổ","Có đức, có tài, là chủ điền trạch và tài bạch.

Đẹp thì có tài năng, xấu thì phải lùi về sau.","Các sao cát, hợp nhất với Tử Vi, Tả Phụ, Hữu Bật
Ở 12 cung đều tốt, nhất là ở hai cung Dần, Thân.","Cung Dậu

Các sao hung, nhất là không vong.",
Vũ Khúc,Chính tinh,"Thuộc Bắc Đẩu, Âm Kim.",Cát chủ về là người quyết đoán. Hung chủ về hay suy nghĩ nông cạn.,"Các sao cát, hợp nhất với Thiên Phủ, Thiên Tướng, Văn Xương, Văn Khúc.

Ưu đóng ở cung Thân, Tuất, Sửu, Mùi.","Các sao hung, kỵ nhất là Phá Quân, Hỏa Tinh, Linh Tinh.

Kỵ đóng các cung Tỵ, Hợi.",
Thiên Tướng,Chính tinh,"Nam Đẩu, Dương Thủy","Quan lộc

Chủ về giúp người, xấu thì trống rỗng.","Tử Vi

Cung Tý, Ngọ, Dần, Thân, Thìn, Tuất, Sửu, Mùi","Hỏa Tinh, Linh Tinh, không kỵ các sao hung khác.

Cung Mão, Dậu",
Thiên Cơ,Chính tinh,"Thuộc Nam Đẩu, Âm Mộc","Chủ về sự khéo léo, nếu sáng sủa chủ về trí tuệ, tối chủ về mơ tưởng.","Các sao cát, ưa ở các cung Tý, Mão, Ngọ, Thìn, Dậu, Dần.","Các sao hung, kỵ nhất là hai sao Cự Môn. Không hợp ở cung Sửu, Mùi.",
Thiên Lương,Chính tinh,"Nam Đẩu, Dương Thổ","Chủ về thọ, hóa giải được tai ương.

Cát chủ tinh tế, sáng suốt
Hung chủ chuyên chế.","Các sao cát

Cung Tý, Ngọ, Mão, Dậu, Thìn, Tuất, Sửu, Mùi","Các sao hung
Kình Dương, Đà La

Cung Thân, Dần, Tỵ, Hợi",
Thiên Đồng,Chính tinh,"Thuộc Nam Đẩu, Dương Thủy","Sao chủ về phúc đức, nếu cát chủ về được hưởng phúc, hung chủ nhu nhược.","Các sao cát, hợp ở các cung Thân, Dần, Tỵ, Hợi.","Kỵ ở các cung Ngọ, Mùi, Sửu",
Thái Âm,Chính tinh,"Sao của Trung Thiên, Âm Thủy","Chủ phúc

Tốt đẹp thì chính trực, xấu thì âm mưu.","Sao Thái Dương, các cung Dậu, Tuất, Hợi, Tý.","Cung Mão, Thìn, Tỵ, Ngọ.",
Thái Dương,Chính tinh,"Chủ tinh của Trung Thiên, Dương Hỏa.","Sao chủ về quan lộc. Nếu Thái Dương sáng sủa chủ về có nghị lực, sức mạnh. Tối chủ về đào hoa.","Các sao cát, đặc biệt là Thái Âm, thích ở cung Mão, Thìn, Tỵ, Ngọ.","Các sao hung, kị nhất là sao Cự Môn. Không hợp ở cung Dậu, Tuất, Hợi, Tý.",
Cự Môn,Chính tinh,"Bắc Đẩu, Âm Thổ","Thị phi

Cát chủ về tỉ mỉ, cẩn thận
Hung thì hay do dự","Sao Lộc

Cung Tý, Ngọ, Mão, Dậu, Dần, Thân, Tỵ, Hợi.","Kình Dương, Đà La

Cung Thìn, Tuất, Sửu, Mùi",
