Sao,Tý,Sửu,Dần,Mão,Thìn,Tỵ,Ngọ,Mùi,Thân,Dậu,Tuất,Hợi
Thiên Mã,Dần,Hợi,Thân,Tỵ,Dần,Hợi,Thân,Tỵ,Dần,Hợi,Thân,Tỵ
Hoa Cái,Thìn,Sửu,Tuất,Mùi,Thìn,Sửu,Tuất,Mùi,Thìn,Sửu,Tuất,Mùi
Kiếp Sát,Tỵ,Dần,Hợi,Thân,Tỵ,Dần,Hợi,Thân,Tỵ,Dần,Hợi,Thân
Đào Hoa,Dậu,Ngọ,Mão,Tý,Dậu,Ngọ,Mão,Tý,Dậu,Ngọ,Mão,Tý
Phá Toái,Tỵ,Sửu,Dậu,Tỵ,Sửu,Dậu,Tỵ,Sửu,Dậu,Tỵ,Sửu,Dậu
Cô Thần,Dần,Dần,Tỵ,Tỵ,Tỵ,Thân,Thân,Thân,Hợi,Hợi,Hợi,Dần
Quả Tú,Tuất,Tuất,Sửu,Sửu,Sửu,Thìn,Thìn,Thìn,Mùi,Mùi,Mùi,Tuất
Thiên Không,Sửu,Dần,Mão,Thìn,Tỵ,Ngọ,Mùi,Thân,Dậu,Tuất,Hợi,Tý
Thiên Khốc,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi
Thiên Hư,Ngọ,Mùi,Thân,Dậu,Tuất,Hợi,Tý,Sửu,Dần,Mão,Thìn,Tỵ
Thiên Đức,Dậu,Tuất,Hợi,Tý,Sửu,Dần,Mão,Thìn,Tỵ,Ngọ,Mùi,Thân
Nguyệt Đức,Tỵ,Ngọ,Mùi,Thân,Dậu,Tuất,Hợi,Tý,Sửu,Dần,Mão,Thìn
Hồng Loan,Mão,Dần,Sửu,Tý,Hợi,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn
Thiên Hỷ,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi,Tuất
Long Trì,Thìn,Tỵ,Ngọ,Mùi,Thân,Dậu,Tuất,Hợi,Tý,Sửu,Dần,Mão
Phượng Các,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi
Giải Thần,Tuất,Dậu,Thân,Mùi,Ngọ,Tỵ,Thìn,Mão,Dần,Sửu,Tý,Hợi
