Sao,Loại sao,Ngũ hành,Chủ đạo,Hợp,Kỵ,Ghi chú
Tử vi,Chính tinh,"D Thổ
N-B","Đế Tinh chủ uy lực, đức độ, phúc lộc","Hợp các quý tinh và Tam Hoá, Lộc Mã, Đế Vượng","Kỵ gặp Tuần Triệt, Không Kiếp, Kình Đà.
Chế ngự được Hoả",Đóng cung nào Phúc cho cung đó. Nếu Tử Vi hãm địa thì kém uy lực và không cứu giải
Thiên Phủ,Chính tinh,"A Thổ
B",Phúc Tài tinh chủ uy quyền và tài,"Hợp bộ Tử Phủ Ngũ Tướng đắc
Hợp cung Điền- Tài","Kỵ gặp Tuần Triệt, Không Kiếp, Thiên Không","Bộ Tử Phủ Ngũ Tướng đắc có khả năng chế ngự các Hung tinh Kình Đà, Hoả Linh"
Vũ Khúc,Chính tinh,"A Kim
B",Tài tinh chủ tài lộc và cô độc,"Hợp bộ Tử Phủ Vũ Tướng đắc, đặc biệt với Thiên Tướng",Hãm gặp Phá Quân và Sát tinh dễ bị tai hoạ và phá sản,Miếu Vượng Gặp Sát tinh không đáng lo ngại
Thiên Tướng,Chính tinh,"D Thuỷ
N",Quyền Tinh chủ về uy dũng,"Hợp với Vũ Khúc đắc, coi Sát tinh như sao phụ thuộc","Kỵ gặp Tuần- Triệt, Không Kiếp, Kình Hình hãm địa",Luôn hợp với bộ Tử Phủ Vũ Vũ để kình chống lại Phá Quân
Thiên Cơ,Chính tinh,"A Mộc
N",Phúc thọ tinh chủ về mưu cơ và khéo léo,"Bộ Cơ Nguyệt Đồng Lương cần nhất Xương Khúc, Khôi Việt",Hãm Kỵ gặp Hình Kỵ và Sát tinh,"Chủ về khôn ngoan, mưu lược, quyền biến"
Thiên Lương,Chính tinh,"D Mộc
N",Thiện Tinh chủ về phúc thọ,"Hợp bộ Văn Tinh, sao y dược và cung Tật Ách",Có khả năng chế giải Hung tinh gây bệnh,"Là người phóng khoáng, tuỳ hoàn cảnh mà giao cảm, ít gò bó trong khuôn khổ"
Thiên Đồng,Chính tinh,"D Thuỷ
N","Phúc tinh chủ về từ thiện, hay thay đổi",Ít có khả năng chế giải Hung tinh,Kỵ gặp Hình- Kỵ và Sát tinh,"Bản chất hiền hoà khoan hậu, nếu đi với Chính tinh xấu dễ bị thua thiệt"
Thái Âm,Chính tinh,"A- Thuỷ
B",Phú Tinh chủ về điền trạch. Chủ về sự anh minh sáng suốt,"Nhật Nguyệt hợp bộ Tam minh (Đào Hồng Hỷ) hoặc ít nhất một trong ba bộ Xương - Khúc, Long - Phượng, Quang - Quý","Nhật Nguyệt Miếu Vượng kỵ gặp Tuần Triệt Không Kiếp và bộ Riêu Đà Kỵ
Nhật Nguyệt đắc cần Tuần Triệt hoặc Thiên Tài và Hoá Kỵ tại hai cung Sửu Mùi","Nhật Đắc cách phải là tuổi Hoả và Nguyệt phải là mệnh Thuỷ. Sáng sủa hay lạc hãm chỉ là phụ thuộc, trường hợp mập mờ không hợp cách"
Thái Dương,Chính tinh,"D Hoả
N","Quý tinh chủ về công danh, quan lộc","Nguyệt hợp cung Điền tài và Quan Lộc
Nhật gặp Hoả Linh tăng ảnh hưởng",Bộ Nhật Nguyệt có khả năng cứu giải tương đối mạnh đối với Kình và Dâm tinh,Bộ Nhật Nguyệt cần đóng đúng âm dương vị hợp tuổi Âm Dương càng tốt sẽ được quang minh sáng tỏ còn lại chỉ là tạm thời
Cự Môn,Chính tinh,"A Thuỷ
B","Âm tinh chủ về ăn xổi, thị phi và pháp luật","Hợp Nhật Hồng, Đào và Quang Quý và các sao về luật pháp
Hợp Tuần Triệt và Lộc tại cung Tý","Kỵ gặp Hình- Kỵ và Lục Sát tinh
Hoá Khoa giải được Cự Hãm",Hợp các tuổi Ất Bính tại Sửu Mùi và Tân Quý tại Thìn Tuất tăng ảnh hưởng tốt giảm bớt ảnh hưởng xấu
Thất Sát,Chính tinh,"D Kim
N","Hung tinh chủ uy quyền, dũng mãnh sát phạt","Hợp Hình và điều khiển được Kình Đà
Đắc cung Tý Ngọ Dần Thân cho các tuổi Giáp Canh Đinh Kỷ","Ảnh hưởng xấu tại cung Tật Ách và Nữ Mệnh 
Tai hoạ nhất là gặp Thêm Kình Đà","Bộ Sát Phá Liêm Tham cần Thai Cáo và Lục sát tinh đắc
Đắc chủ dũng mãnh mưu cơ hiếu thắng được hiển đạt"
Liêm Trinh,Chính tinh,"A Hoả
B","Quan Lộc tinh, Tù Tinh và Dâm Tinh",Cần hợp Tủ Phủ và Xương Khúc,"Kỵ gặp Hình Hổ Kỵ và Lục sát tinh chuyên tai hoạ
Hợp với các Dâm tinh là Đào Hoa thứ hai","Bản chất chính trực, uy nghiêm hợp bộ Tử Phủ tăng ảnh hưởng, còn nếu hợp Sát Phá Tham dễ hùa theo gây ảnh hưởng xấu"
Tham Lang,Chính tinh,"A Mộc
B","Hung Dâm tinh chủ hoạ phúc, uy quyền","Đắc điều khiển được Hoả Linh
Hợp Vũ Khúc tại bốn cung Tứ Mộ",Hãm cùng các Dâm tinh gây phá tán,"Miếu Vượng chủ uy quyền, Tài lộc, Thọ và hậu vận tốt
Hãm chỉ sắc dục, bệnh tật"
